UF;VALOR GASTO
Amazonas;5669102721.5192995
Bahia;5728910926.626601
Ceará;5573739918.930201
Distrito Federal;3720037933.5325
Mato Grosso;6219212600.0
Minas Gerais;5154605638.2279005
Paraná;5337419892.4006
Pernambuco;6316247381.3248005
Rio Grande do Norte;5710462566.7905
Rio Grande do Sul;4823104200.0
Rio de Janeiro;8782927246.846401
São Paulo;9527327389.4388
