UF;VALOR GASTO
Amazonas;6977339739.599299
Bahia;6678040926.626601
Ceará;7215930569.230201
Distrito Federal;5888697834.9225
Mato Grosso;8662871826.310001
Minas Gerais;7776681677.6379
Paraná;6457300936.8806
Pernambuco;7989384525.2848
Rio Grande do Norte;7256805995.1405
Rio Grande do Sul;5331605285.38
Rio de Janeiro;12655923458.786402
São Paulo;14612502451.868801
